PEOP;2023-10-24;533-1627834;56.95
PEOP;2023-10-24;533-1627835;48.95
PEOP;2023-10-24;533-1627836;39.95
22084;2023-10-11;803-1628621;21.75
V-1040HX;2023-10-11;267-1629949;181.99
V-1040HX;2023-10-18;20-1634817;154
V-1040HX;2023-10-04;267-1632841;35.99
V-1040HX;2023-10-06;267-1631483;99.99
V-1040HX;2023-10-10;267-1633250;71.99
V-1040HX;2023-10-12;267-1631894;173.99
V-1040HX;2023-10-18;267-1631904;137.99
V-1040HX;2023-10-11;267-1633403;165.99
V-1040HX;2023-10-02;267-1632548;57.99
V-1040HX;2023-10-25;267-1635213;29.99
V-1040HX;2023-10-13;267-1632432;113.99
V-1040HX;2023-10-03;267-1632482;63.99
V-1040HX;2023-10-03;267-1632483;63.99
V-1040HX;2023-10-06;267-1633380;111.99
V-1040HX;2023-10-11;267-1633554;79.99
V-1040HX;2023-10-03;267-1632546;137.99
V-1040HX;2023-10-10;267-1632547;51.99
V-1040HX;2023-10-03;267-1632549;109.99
V-1040HX;2023-10-03;267-1632551;73.99
V-1040HX;2023-10-19;267-1634667;29.99
V-1040HX;2023-10-03;267-1632634;44.94
V-1040HX;2023-10-04;267-1632637;24.99
V-1040HX;2023-10-03;267-1632662;137.99
V-1040HX;2023-10-11;267-1632695;105.99
27300;2023-10-05;836-1633434;114
V-1040HX;2023-10-04;267-1632835;43.99
V-1040HX;2023-10-11;267-1633209;173.99
V-1040HX;2023-10-12;267-1632843;35.99
V-1040HX;2023-10-04;267-1632844;15.99
V-1040HX;2023-10-05;267-1632851;29.99
V-1040HX;2023-10-05;267-1632852;15.99
V-1040HX;2023-10-03;267-1632853;185.99
V-1040HX;2023-10-04;267-1633017;27.99
V-1040HX;2023-10-04;267-1633018;69.99
V-1040HX;2023-10-05;267-1633019;173.99
V-1040HX;2023-10-04;267-1633020;97.99
V-1040HX;2023-10-02;267-1633032;53.99
V-1040HX;2023-10-04;267-1633033;35.99
V-1040HX;2023-10-03;267-1633034;97.99
V-1040HX;2023-10-05;267-1633035;145.99
V-1040HX;2023-10-04;267-1633063;197.99
V-1040HX;2023-10-04;267-1633064;217.99
V-1040HX;2023-10-05;267-1633065;173.99
V-1000NB;2023-10-06;759-1633122;88.25
V-1040HX;2023-10-12;267-1633744;63.99
27300;2023-10-03;836-1633145;178
27300;2023-10-03;836-1633146;138
27300;2023-10-03;836-1633148;64
27300;2023-10-05;836-1633150;268
V-1040HX;2023-10-04;267-1633240;97.99
V-1040HX;2023-10-06;267-1633206;69.99
V-1040HX;2023-10-06;267-1633205;69.99
V-1040HX;2023-10-06;267-1633207;59.99
V-1040HX;2023-10-16;267-1634484;133.99
V-1040HX;2023-10-05;267-1633241;51.99
V-1040HX;2023-10-06;267-1633251;29.99
V-1040HX;2023-10-06;267-1633252;29.99
V-1040HX;2023-10-10;267-1633254;37.99
V-1040HX;2023-10-10;267-1633255;37.99
V-1040HX;2023-10-06;267-1633265;103.99
V-1040HX;2023-10-10;267-1633274;31.99
V-1040HX;2023-10-06;267-1633275;29.99
V-1040HX;2023-10-10;267-1633281;71.99
V-1040HX;2023-10-12;267-1633282;165.99
V-1040HX;2023-10-04;267-1633309;63.99
V-1040HX;2023-10-17;267-1634207;80.99
V-1040HX;2023-10-10;267-1633359;51.99
V-1040HX;2023-10-05;267-1633366;39.99
V-1040HX;2023-10-03;267-1633367;23.99
V-1040HX;2023-10-20;267-1633378;57.99
V-1040HX;2023-10-06;267-1633382;111.99
V-1040HX;2023-10-06;267-1633383;139.99
V-1040HX;2023-10-05;267-1633401;67.99
V-1040HX;2023-10-05;267-1633402;97.99
V-1040HX;2023-10-04;267-1633410;137.99
V-1040HX;2023-10-10;267-1633411;137.99
27300;2023-10-13;836-1634529;64
27300;2023-10-05;836-1633435;138
V-1040HX;2023-10-10;267-1633414;201.99
27300;2023-10-05;836-1633436;178
27300;2023-10-05;836-1633437;138
27300;2023-10-05;836-1633438;138
27300;2023-10-05;836-1633440;164
V-1040HX;2023-10-05;267-1633441;51.99
V-1040HX;2023-10-04;267-1633453;229.99
V-1040HX;2023-10-10;267-1633488;15.99
V-1040HX;2023-10-10;267-1633489;29.99
V-1040HX;2023-10-10;267-1633501;105.99
V-1040HX;2023-10-10;267-1633506;145.99
V-1040HX;2023-10-18;267-1633507;71.99
V-1040HX;2023-10-10;267-1633532;75.99
V-1040HX;2023-10-05;267-1633533;83.99
V-1040HX;2023-10-10;267-1633534;93.99
V-1040HX;2023-10-11;267-1633555;63.99
V-1040HX;2023-10-11;267-1633556;63.99
V-1040HX;2023-10-06;267-1633561;90.99
22084;2023-10-19;803-1633560;90
V-1040HX;2023-10-23;267-1633621;61.99
V-1040HX;2023-10-10;267-1633622;97.99
V-1040HX;2023-10-10;267-1633623;15.99
V-1040HX;2023-10-06;267-1633877;35.99
V-1040HX;2023-10-13;267-1633745;165.99
V-1040HX;2023-10-11;267-1633732;85.99
V-1040HX;2023-10-20;267-1633733;103.99
V-1040HX;2023-10-11;267-1633734;109.99
V-1040HX;2023-10-17;267-1633746;181.99
V-1040HX;2023-10-11;267-1633749;75.99
V-1040HX;2023-10-11;267-1633750;27.99
V-1040HX;2023-10-12;267-1633752;67.99
V-1040HX;2023-10-13;267-1633753;75.99
V-1040HX;2023-10-12;267-1633761;29.99
V-1040HX;2023-10-12;267-1633762;29.99
V-1040HX;2023-10-16;267-1633763;31.99
V-1040HX;2023-10-12;267-1633771;117.99
V-1040HX;2023-10-12;267-1633772;15.99
V-1040HX;2023-10-16;267-1633773;31.99
V-1040HX;2023-10-13;267-1633774;31.99
V-1040HX;2023-10-11;267-1633776;93.99
V-1040HX;2023-10-11;267-1633777;185.99
V-1040HX;2023-10-12;267-1633781;53.99
V-1040HX;2023-10-11;267-1634313;61.99
V-1040HX;2023-10-24;267-1633824;145.99
27300;2023-10-05;836-1633819;38
V-1040HX;2023-10-11;267-1633837;75.99
V-1040HX;2023-10-13;267-1633838;137.99
V-1040HX;2023-10-12;267-1633867;103.99
V-1040HX;2023-10-12;267-1633868;15.99
V-1040HX;2023-10-12;267-1633869;15.99
22084;2023-10-12;803-1633851;190.5
V-1000FR;2023-10-12;759-1633859;90.54
V-1040HX;2023-10-13;267-1633937;105.99
V-1040HX;2023-10-13;267-1633938;35.99
V-1000FR;2023-10-12;759-1633914;136.54
V-1040HX;2023-10-13;267-1633940;146
V-1040HX;2023-10-13;267-1633944;105.99
V-1040HX;2023-10-16;267-1633945;59.99
V-1040HX;2023-10-13;267-1633947;51.99
V-1040HX;2023-10-16;267-1633982;139.99
V-1040HX;2023-10-16;267-1633983;35.99
V-1040HX;2023-10-11;267-1633984;109.99
V-1040HX;2023-10-13;267-1633986;15.99
V-1040HX;2023-10-11;267-1633989;156.99
V-1040HX;2023-10-05;267-1633992;36
V-1040HX;2023-10-11;267-1634002;117.99
V-1040HX;2023-10-12;267-1634003;63.99
27300;2023-10-10;836-1634095;188
27300;2023-10-11;836-1634096;248
27300;2023-10-10;836-1634097;64
27300;2023-10-11;836-1634098;178
V-1040HX;2023-10-12;267-1634144;63.99
V-1040HX;2023-10-26;267-1635970;60
V-1040HX;2023-10-11;267-1634150;100
V-1040HX;2023-10-16;267-1634153;64
V-1040HX;2023-10-12;267-1634178;47.99
V-1040HX;2023-10-12;267-1634179;139.99
V-1040HX;2023-10-12;267-1634189;117.99
V-1040HX;2023-10-18;267-1634190;67.99
V-1040HX;2023-10-12;267-1634198;107.99
V-1040HX;2023-10-12;267-1634199;75.99
V-1040HX;2023-10-23;267-1635312;145.99
V-1040HX;2023-10-17;267-1634251;116.99
V-1040HX;2023-10-26;267-1635971;52
V-1040HX;2023-10-23;267-1635379;125.99
V-1040HX;2023-10-18;267-1634772;139.99
V-1040HX;2023-10-17;267-1634307;205.99
V-1040HX;2023-10-18;267-1634308;97.99
V-1040HX;2023-10-18;267-1634309;125.99
V-1040HX;2023-10-18;267-1634314;61.99
V-1040HX;2023-10-30;267-1635983;29.99
V-1040HX;2023-10-18;267-1634319;109.99
27300;2023-10-11;836-1634337;178
V-1040HX;2023-10-17;267-1634320;29.99
27300;2023-10-11;836-1634338;278
27300;2023-10-11;836-1634339;238
